id,brand_name
1,Acura
2,Alfa Romeo
3,Aston Martin
4,Audi
5,Bentley
6,Bmw
7,Chevrolet
8,Chrysler
9,Citroen
10,Dacia
11,Dodge
12,Fiat
13,Ford
14,Honda
15,Hyundai
16,Infinity
17,Jaguar
18,Jeep
19,Kia
20,Lexus
21,Mazda
22,Mercedes
23,Mini
24,Mitsubishi
25,Opel
26,Peugeot
27,Porshe
28,Renault
29,Saab
30,Seat
31,Skoda
32,Subaru
33,Suzuki
34,Tesla
35,Toyota
36,Volkswagen
37,Volo
